Cuadro 4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ÍNDICE DE ACTIVIDAD DEL COMERCIO ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CIFRAS A PRECIOS CONSTANTES POR CLASE CIIU4.CL 2012;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BASE PROMEDIO AÑO 2014 = 100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Octubre 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mes y año;Índice general/Ref/P/R;Clase 4510;Clase 4530;Clase 4620;Clase 4630;Clase 4641;Clase 4649;Clase 4650;Clase 4661;Clase 4663;Clase 4669;Clase 4690;Clase 4711;Clase 4719;Clase 4720;Clase 4730;Clase 4740;Clase 4752;Clase 4759;Clase 4760;Clase 4771;Clase 4772;Clase 4773;;;;;;;;
;feb-16;97,99;84,35;99,30;74,16;98,06;118,32;97,62;87,38;125,08;110,69;84,32;103,77;99,82;103,84;95,34;100,15;127,74;107,82;95,74;120,62;119,93;94,72;87,73;;;;;;;;
;mar-16;109,41;99,85;110,65;70,04;121,88;141,22;119,13;109,95;125,71;119,29;97,12;122,84;104,75;98,99;101,68;97,80;162,34;109,85;99,87;131,00;112,86;104,85;94,31;;;;;;;;
;abr-16;104,45;96,07;102,41;78,99;110,52;130,63;115,04;95,65;116,80;112,55;90,55;115,05;100,90;105,14;100,52;90,35;140,47;107,75;97,20;94,90;130,56;103,24;97,50;;;;;;;;
;may-16;103,53;97,18;102,82;83,93;99,53;120,50;114,14;95,14;118,44;111,89;91,66;118,30;100,33;107,36;99,74;94,32;142,58;104,76;99,70;88,23;121,52;104,15;102,09;;;;;;;;
;jun-16;101,28;90,04;96,91;78,86;96,79;115,26;112,03;106,30;117,63;99,70;91,63;114,61;96,85;97,97;97,43;93,17;139,96;98,34;93,61;82,57;113,27;101,00;102,40;;;;;;;;
;jul-16;101,65;86,50;95,61;74,91;96,85;129,00;103,39;98,89;135,26;101,06;93,07;117,78;103,02;100,97;98,08;96,17;152,72;96,04;98,96;88,33;117,35;100,59;105,45;;;;;;;;
;ago-16;103,93;98,25;98,00;85,70;105,97;141,36;116,13;93,87;130,66;111,62;127,80;121,40;97,85;94,07;96,91;97,44;150,07;100,53;98,82;93,65;105,90;105,69;102,46;;;;;;;;
;sep-16;106,50;131,83;97,75;98,99;96,67;132,35;117,03;98,67;114,58;106,42;131,10;112,48;102,00;92,02;106,86;97,26;140,33;96,91;96,77;86,29;114,60;102,54;98,82;;;;;;;;
;oct-16;105,89;117,72;91,28;70,96;91,93;136,28;124,63;100,73;111,54;114,06;110,78;113,40;107,55;99,66;98,93;90,88;144,71;99,11;98,46;92,37;111,44;104,06;97,67;;;;;;;;
;nov-16;113,57;122,08;98,27;74,76;108,37;129,90;135,26;123,76;118,47;116,33;104,40;125,41;101,42;115,49;96,10;87,81;178,68;108,51;107,47;101,80;118,06;101,69;99,22;;;;;;;;
;dic-16;136,09;132,33;98,27;76,07;143,57;153,34;113,44;145,75;116,76;121,50;94,36;141,96;128,25;178,65;125,61;96,02;241,56;108,23;169,48;147,62;207,27;123,02;127,56;;;;;;;;
;ene-17;103,74;104,16;101,91;66,58;101,10;155,15;112,90;96,69;113,45;105,35;81,94;115,21;100,49;106,51;97,21;90,81;170,78;108,95;99,87;94,81;121,04;98,71;95,22;;;;;;;;
;feb-17;98,78;97,74;88,40;57,72;102,54;132,30;100,77;93,00;109,59;102,45;69,98;107,53;97,76;102,71;94,49;90,99;161,16;99,88;94,81;111,79;126,80;92,14;88,25;;;;;;;;
;mar-17;117,12;128,65;102,27;71,76;122,05;162,62;129,88;120,53;119,98;121,18;84,77;127,06;106,37;109,59;108,22;98,25;201,99;112,22;111,70;133,80;133,78;109,24;100,57;;;;;;;;
;abr-17;103,18;109,53;88,83;67,09;102,02;139,93;113,96;93,63;113,46;99,78;77,93;115,75;105,86;105,16;101,06;93,04;163,95;96,54;97,79;90,32;132,66;96,14;91,00;;;;;;;;
