AÑO,GLOSA,ÍNDICE,,,,,,,,
2020-02,RECREACIÓN Y CULTURA,105.88,,,,,,,,
2020-02,RESTAURANTES Y HOTELES,105,,,,,,,,
2020-03,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,107.21,,,,,,,,
2020-03,BEBIDAS ALCOHÓLICAS Y TABACO,104.81,,,,,,,,
2020-03,VESTUARIO Y CALZADO,100.92,,,,,,,,
2020-03,RECREACIÓN Y CULTURA,104.49,,,,,,,,
2020-03,RESTAURANTES Y HOTELES,105.39,,,,,,,,
2020-04,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,108.28,,,,,,,,
2020-04,BEBIDAS ALCOHÓLICAS Y TABACO,106.32,,,,,,,,
2020-04,VESTUARIO Y CALZADO,97.65,,,,,,,,
2020-04,RECREACIÓN Y CULTURA,104.45,,,,,,,,
2020-04,RESTAURANTES Y HOTELES,105.19,,,,,,,,
2020-05,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,108.24,,,,,,,,
2020-05,BEBIDAS ALCOHÓLICAS Y TABACO,106.05,,,,,,,,
2020-05,VESTUARIO Y CALZADO,96.91,,,,,,,,
2020-05,RECREACIÓN Y CULTURA,104.81,,,,,,,,
2020-05,RESTAURANTES Y HOTELES,104.48,,,,,,,,
2020-06,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,108.57,,,,,,,,
2020-06,BEBIDAS ALCOHÓLICAS Y TABACO,105.72,,,,,,,,
2020-06,VESTUARIO Y CALZADO,96.21,,,,,,,,
2020-06,RECREACIÓN Y CULTURA,105.58,,,,,,,,
2020-06,RESTAURANTES Y HOTELES,104.65,,,,,,,,
2020-07,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,109.2,,,,,,,,
2020-07,BEBIDAS ALCOHÓLICAS Y TABACO,106.9,,,,,,,,
2020-07,VESTUARIO Y CALZADO,95.92,,,,,,,,
2020-07,RECREACIÓN Y CULTURA,105.71,,,,,,,,
2020-07,RESTAURANTES Y HOTELES,104.67,,,,,,,,
2020-08,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,109.45,,,,,,,,
2020-08,BEBIDAS ALCOHÓLICAS Y TABACO,107.51,,,,,,,,
2020-08,VESTUARIO Y CALZADO,98.13,,,,,,,,
2020-08,RECREACIÓN Y CULTURA,106.06,,,,,,,,
2020-08,RESTAURANTES Y HOTELES,104.5,,,,,,,,
2020-09,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,111.44,,,,,,,,
2020-09,BEBIDAS ALCOHÓLICAS Y TABACO,107.03,,,,,,,,
2020-09,VESTUARIO Y CALZADO,99.77,,,,,,,,
2020-09,RECREACIÓN Y CULTURA,106.81,,,,,,,,
2020-09,RESTAURANTES Y HOTELES,104.79,,,,,,,,
2020-10,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,112.09,,,,,,,,
2020-10,BEBIDAS ALCOHÓLICAS Y TABACO,108.23,,,,,,,,
2020-10,VESTUARIO Y CALZADO,103.33,,,,,,,,
2020-10,RECREACIÓN Y CULTURA,106.78,,,,,,,,
2020-10,RESTAURANTES Y HOTELES,106.14,,,,,,,,
2020-11,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,112.3,,,,,,,,
2020-11,BEBIDAS ALCOHÓLICAS Y TABACO,107.86,,,,,,,,
2020-11,VESTUARIO Y CALZADO,98.28,,,,,,,,
2020-11,RECREACIÓN Y CULTURA,107,,,,,,,,
2020-11,RESTAURANTES Y HOTELES,106.14,,,,,,,,
2020-12,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,112.52,,,,,,,,
2020-12,BEBIDAS ALCOHÓLICAS Y TABACO,106.71,,,,,,,,
2020-12,VESTUARIO Y CALZADO,101.92,,,,,,,,
2020-12,RECREACIÓN Y CULTURA,107.52,,,,,,,,
2020-12,RESTAURANTES Y HOTELES,106.39,,,,,,,,
2021-01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,113.88,,,,,,,,
2021-01,BEBIDAS ALCOHÓLICAS Y TABACO,107.15,,,,,,,,
2021-01,VESTUARIO Y CALZADO,101.01,,,,,,,,
2021-01,RECREACIÓN Y CULTURA,107.93,,,,,,,,
2021-01,RESTAURANTES Y HOTELES,107.32,,,,,,,,
2021-02,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,113.26,,,,,,,,
2021-02,BEBIDAS ALCOHÓLICAS Y TABACO,107.31,,,,,,,,
2021-02,VESTUARIO Y CALZADO,102.33,,,,,,,,
2021-02,RECREACIÓN Y CULTURA,107.67,,,,,,,,
2021-02,RESTAURANTES Y HOTELES,107.39,,,,,,,,
2021-03,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,112.81,,,,,,,,
2021-03,BEBIDAS ALCOHÓLICAS Y TABACO,107.55,,,,,,,,
2021-03,VESTUARIO Y CALZADO,103.73,,,,,,,,
2021-03,RECREACIÓN Y CULTURA,107.82,,,,,,,,
2021-03,RESTAURANTES Y HOTELES,107.48,,,,,,,,
2021-04,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,113.7,,,,,,,,
2021-04,BEBIDAS ALCOHÓLICAS Y TABACO,107.9,,,,,,,,
2021-04,VESTUARIO Y CALZADO,101.27,,,,,,,,
2021-04,RECREACIÓN Y CULTURA,108.36,,,,,,,,
2021-04,RESTAURANTES Y HOTELES,107.99,,,,,,,,
2021-05,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,113.48,,,,,,,,
2021-05,BEBIDAS ALCOHÓLICAS Y TABACO,108.91,,,,,,,,
2021-05,VESTUARIO Y CALZADO,100.75,,,,,,,,
2021-05,RECREACIÓN Y CULTURA,108.36,,,,,,,,
2021-05,RESTAURANTES Y HOTELES,107.8,,,,,,,,
2021-06,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,113.53,,,,,,,,
2021-06,BEBIDAS ALCOHÓLICAS Y TABACO,108.38,,,,,,,,
2021-06,VESTUARIO Y CALZADO,98.88,,,,,,,,
2021-06,RECREACIÓN Y CULTURA,108.21,,,,,,,,
2021-06,RESTAURANTES Y HOTELES,107.88,,,,,,,,
2021-07,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,114.7,,,,,,,,
2021-07,BEBIDAS ALCOHÓLICAS Y TABACO,109.27,,,,,,,,
2021-07,VESTUARIO Y CALZADO,98.47,,,,,,,,
2021-07,RECREACIÓN Y CULTURA,109.05,,,,,,,,
2021-07,RESTAURANTES Y HOTELES,108.96,,,,,,,,
2021-08,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,114.79,,,,,,,,
2021-08,BEBIDAS ALCOHÓLICAS Y TABACO,108.39,,,,,,,,
2021-08,VESTUARIO Y CALZADO,98.64,,,,,,,,
2021-08,RECREACIÓN Y CULTURA,109.06,,,,,,,,
2021-08,RESTAURANTES Y HOTELES,110.96,,,,,,,,
2021-09,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,117.2,,,,,,,,
2021-09,BEBIDAS ALCOHÓLICAS Y TABACO,108.7,,,,,,,,
2021-09,VESTUARIO Y CALZADO,100.38,,,,,,,,
2021-09,RECREACIÓN Y CULTURA,109.72,,,,,,,,
2021-09,RESTAURANTES Y HOTELES,112.04,,,,,,,,
2021-10,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,118.03,,,,,,,,
2021-10,BEBIDAS ALCOHÓLICAS Y TABACO,108.87,,,,,,,,
2021-10,VESTUARIO Y CALZADO,97.11,,,,,,,,
2021-10,RECREACIÓN Y CULTURA,118.26,,,,,,,,
2021-10,RESTAURANTES Y HOTELES,114.55,,,,,,,,
2021-11,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,118.11,,,,,,,,
2021-11,BEBIDAS ALCOHÓLICAS Y TABACO,108.38,,,,,,,,
2021-11,VESTUARIO Y CALZADO,99.71,,,,,,,,
2021-11,RECREACIÓN Y CULTURA,121.39,,,,,,,,
2021-11,RESTAURANTES Y HOTELES,115.7,,,,,,,,
2021-12,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,118.71,,,,,,,,
2021-12,BEBIDAS ALCOHÓLICAS Y TABACO,108.06,,,,,,,,
2021-12,VESTUARIO Y CALZADO,100.16,,,,,,,,
2021-12,RECREACIÓN Y CULTURA,123.05,,,,,,,,
2021-12,RESTAURANTES Y HOTELES,117.15,,,,,,,,
2022-01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,120.67,,,,,,,,
2022-01,BEBIDAS ALCOHÓLICAS Y TABACO,110.03,,,,,,,,
2022-01,VESTUARIO Y CALZADO,100.95,,,,,,,,
2022-01,RECREACIÓN Y CULTURA,123,,,,,,,,
2022-01,RESTAURANTES Y HOTELES,119.12,,,,,,,,
2022-02,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,122.81,,,,,,,,
2022-02,BEBIDAS ALCOHÓLICAS Y TABACO,110.48,,,,,,,,
2022-02,VESTUARIO Y CALZADO,101.72,,,,,,,,
2022-02,RECREACIÓN Y CULTURA,116.59,,,,,,,,
2022-02,RESTAURANTES Y HOTELES,119.75,,,,,,,,
2022-03,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,127.63,,,,,,,,
2022-03,BEBIDAS ALCOHÓLICAS Y TABACO,113.67,,,,,,,,
2022-03,VESTUARIO Y CALZADO,102.59,,,,,,,,
2022-03,RECREACIÓN Y CULTURA,116.89,,,,,,,,
2022-03,RESTAURANTES Y HOTELES,121.47,,,,,,,,
2022-04,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,130.53,,,,,,,,
2022-04,BEBIDAS ALCOHÓLICAS Y TABACO,113.78,,,,,,,,
2022-04,VESTUARIO Y CALZADO,102.54,,,,,,,,
2022-04,RECREACIÓN Y CULTURA,120.32,,,,,,,,
2022-04,RESTAURANTES Y HOTELES,123.89,,,,,,,,
2022-05,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,132.93,,,,,,,,
2022-05,BEBIDAS ALCOHÓLICAS Y TABACO,114.12,,,,,,,,
2022-05,VESTUARIO Y CALZADO,102.24,,,,,,,,
2022-05,RECREACIÓN Y CULTURA,123.05,,,,,,,,
2022-05,RESTAURANTES Y HOTELES,125.64,,,,,,,,
2022-06,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,134.5,,,,,,,,
2022-06,BEBIDAS ALCOHÓLICAS Y TABACO,113.99,,,,,,,,
2022-06,VESTUARIO Y CALZADO,100.94,,,,,,,,
2022-06,RECREACIÓN Y CULTURA,124.83,,,,,,,,
2022-06,RESTAURANTES Y HOTELES,127.83,,,,,,,,
2022-07,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,137,,,,,,,,
2022-07,BEBIDAS ALCOHÓLICAS Y TABACO,115.22,,,,,,,,
2022-07,VESTUARIO Y CALZADO,98.18,,,,,,,,
2022-07,RECREACIÓN Y CULTURA,126.92,,,,,,,,
2022-07,RESTAURANTES Y HOTELES,129.27,,,,,,,,
2022-08,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,139.72,,,,,,,,
2022-08,BEBIDAS ALCOHÓLICAS Y TABACO,117.06,,,,,,,,
2022-08,VESTUARIO Y CALZADO,100.16,,,,,,,,
2022-08,RECREACIÓN Y CULTURA,127.53,,,,,,,,
2022-08,RESTAURANTES Y HOTELES,131.33,,,,,,,,
2022-09,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,142.9,,,,,,,,
2022-09,BEBIDAS ALCOHÓLICAS Y TABACO,117.92,,,,,,,,
2022-09,VESTUARIO Y CALZADO,100.9,,,,,,,,
2022-09,RECREACIÓN Y CULTURA,127.02,,,,,,,,
2022-09,RESTAURANTES Y HOTELES,132.34,,,,,,,,
2022-10,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,144,,,,,,,,
2022-10,BEBIDAS ALCOHÓLICAS Y TABACO,120.68,,,,,,,,
2022-10,VESTUARIO Y CALZADO,98.68,,,,,,,,
2022-10,RECREACIÓN Y CULTURA,128.4,,,,,,,,
2022-10,RESTAURANTES Y HOTELES,133.8,,,,,,,,
2022-11,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,146.4,,,,,,,,
2022-11,BEBIDAS ALCOHÓLICAS Y TABACO,123.51,,,,,,,,
2022-11,VESTUARIO Y CALZADO,102.71,,,,,,,,
2022-11,RECREACIÓN Y CULTURA,126.66,,,,,,,,
2022-11,RESTAURANTES Y HOTELES,135.57,,,,,,,,
2022-12,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,148.05,,,,,,,,
2022-12,BEBIDAS ALCOHÓLICAS Y TABACO,122.48,,,,,,,,
2022-12,VESTUARIO Y CALZADO,100.8,,,,,,,,
2022-12,RECREACIÓN Y CULTURA,129.35,,,,,,,,
2022-12,RESTAURANTES Y HOTELES,136.45,,,,,,,,
2023-01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,149.56,,,,,,,,
2023-01,BEBIDAS ALCOHÓLICAS Y TABACO,125.76,,,,,,,,
2023-01,VESTUARIO Y CALZADO,103.27,,,,,,,,
2023-01,RECREACIÓN Y CULTURA,130.05,,,,,,,,
2023-01,RESTAURANTES Y HOTELES,137.74,,,,,,,,
2023-02,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,149.13,,,,,,,,
2023-02,BEBIDAS ALCOHÓLICAS Y TABACO,126.69,,,,,,,,
2023-02,VESTUARIO Y CALZADO,107.34,,,,,2014-01,,,
2023-02,RECREACIÓN Y CULTURA,128.8,,,,,2014-02,,,
2023-02,RESTAURANTES Y HOTELES,139.36,,,,,2014-03,,,
2023-03,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,149.78,,,,,2014-04,,,
2023-03,BEBIDAS ALCOHÓLICAS Y TABACO,126.27,,,,,2014-05,,,
2023-03,VESTUARIO Y CALZADO,109.17,,,,,2014-06,,,
2023-03,RECREACIÓN Y CULTURA,131.63,,,,,2014-07,,,
2023-03,RESTAURANTES Y HOTELES,140.07,,,,,2014-08,,,
2023-04,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,149.81,,,,,2014-09,,,
2023-04,BEBIDAS ALCOHÓLICAS Y TABACO,127.44,,,,,2014-10,,,
2023-04,VESTUARIO Y CALZADO,108.95,,,,,2014-11,,,
2023-04,RECREACIÓN Y CULTURA,129.34,,,,,2014-12,,,
2023-04,RESTAURANTES Y HOTELES,140.41,,,,,2015-01,,,
2023-05,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,149.84,,,,,2015-02,,,
2023-05,BEBIDAS ALCOHÓLICAS Y TABACO,127.87,,,,,2015-03,,,
2023-05,VESTUARIO Y CALZADO,110.16,,,,,2015-04,,,
2023-05,RECREACIÓN Y CULTURA,129.54,,,,,2015-05,,,
2023-05,RESTAURANTES Y HOTELES,141.55,,,,,2015-06,,,
2023-06,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,150.34,,,,,2015-07,,,
2023-06,BEBIDAS ALCOHÓLICAS Y TABACO,128.21,,,,,2015-08,,,
2023-06,VESTUARIO Y CALZADO,107.54,,,,,2015-09,,,
2023-06,RECREACIÓN Y CULTURA,128.81,,,,,2015-10,,,
2023-06,RESTAURANTES Y HOTELES,142.17,,,,,2015-11,,,
2023-07,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,152.12,,,,,2015-12,,,
2023-07,BEBIDAS ALCOHÓLICAS Y TABACO,129.65,,,,,2016-01,,,
2023-07,VESTUARIO Y CALZADO,104.65,,,,,2016-02,,,
2023-07,RECREACIÓN Y CULTURA,131.25,,,,,2016-03,,,
2023-07,RESTAURANTES Y HOTELES,142.89,,,,,2016-04,,,
2023-08,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,152.63,,,,,2016-05,,,
2023-08,BEBIDAS ALCOHÓLICAS Y TABACO,129.85,,,,,2016-06,,,
2023-08,VESTUARIO Y CALZADO,105.14,,,,,2016-07,,,
2023-08,RECREACIÓN Y CULTURA,131.53,,,,,2016-08,,,
2023-08,RESTAURANTES Y HOTELES,143.49,,,,,2016-09,,,
2023-09,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,154.22,,,,,2016-10,,,
2023-09,BEBIDAS ALCOHÓLICAS Y TABACO,128.67,,,,,2016-11,,,
2023-09,VESTUARIO Y CALZADO,106.5,,,,,2016-12,,,
2023-09,RECREACIÓN Y CULTURA,133.65,,,,,2017-01,,,
2023-09,RESTAURANTES Y HOTELES,144.41,,,,,2017-02,,,
2023-10,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,155.56,,,,,2017-03,,,
2023-10,BEBIDAS ALCOHÓLICAS Y TABACO,131.81,,,,,2017-04,,,
2023-10,VESTUARIO Y CALZADO,102.61,,,,,2017-05,,,
2023-10,RECREACIÓN Y CULTURA,136.01,,,,,2017-06,,,
2023-10,RESTAURANTES Y HOTELES,145.33,,,,,2017-07,,,
2023-11,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,157.12,,,,,2017-08,,,
2023-11,BEBIDAS ALCOHÓLICAS Y TABACO,130.99,,,,,2017-09,,,
2023-11,VESTUARIO Y CALZADO,105.89,,,,,2017-10,,,
2023-11,RECREACIÓN Y CULTURA,137.85,,,,,2017-11,,,
2023-11,RESTAURANTES Y HOTELES,145.69,,,,,2017-12,,,
2023-12,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,155.81,,,,,2018-01,,,
2023-12,BEBIDAS ALCOHÓLICAS Y TABACO,130.44,,,,,2018-02,,,
2023-12,VESTUARIO Y CALZADO,104.71,,,,,2018-03,,,
2023-12,RECREACIÓN Y CULTURA,133.98,,,,,2018-04,,,
2023-12,RESTAURANTES Y HOTELES,146.82,,,,,2018-05,,,
,,,,,,,2018-06,,,
,,,,,,,2018-07,,,
,,,,,,,2018-08,,,2014-01
,,,,,,,2018-09,,,2014-02
,,,,,,,2018-10,,,2014-03
,,,,,,,2018-11,,,2014-04
,,,,,,,2018-12,,,2014-05
,,,,,,,2019-01,,,2014-06
,,,,,,,2019-02,,,2014-07
,,,,,,,2019-03,,,2014-08
,,,,,,,2019-04,,,2014-09
,,,,,,,2019-05,,,2014-10
,,,,,,,2019-06,,,2014-11
,,,,,,,2019-07,,,2014-12
,,,,,,,2019-08,,,2015-01
,,,,,,,2019-09,,,2015-02
,,,,,,,2019-10,,,2015-03
,,,,,,,2019-11,,,2015-04
,,,,,,,2019-12,,,2015-05
,,,,,,,2019-01,,,2015-06
,,,,,,,2020-02,,,2015-07
,,,,,,,2020-03,,,2015-08
,,,,,,,2020-04,,,2015-09
,,,,,,,2020-05,,,2015-10
,,,,,,,2020-06,,,2015-11
,,,,,,,2020-07,,,2015-12
,,,,,,,2020-08,,,2016-01
,,,,,,,2020-09,,,2016-02
,,,,,,,2020-10,,,2016-03
,,,,,,,2020-11,,,2016-04
,,,,,,,2020-12,,,2016-05
,,,,,,,2021-01,,,2016-06
,,,,,,,2021-02,,,2016-07
,,,,,,,2021-03,,,2016-08
,,,,,,,2021-04,,,2016-09
,,,,,,,2021-05,,,2016-10
,,,,,,,2021-06,,,2016-11
,,,,,,,2021-07,,,2016-12
,,,,,,,2021-08,,,2017-01
,,,,,,,2021-09,,,2017-02
,,,,,,,2021-10,,,2017-03
,,,,,,,2021-11,,,2017-04
,,,,,,,2021-12,,,2017-05
,,,,,,,2022-01,,,2017-06
,,,,,,,2022-02,,,2017-07
,,,,,,,2022-03,,,2017-08
,,,,,,,2022-04,,,2017-09
,,,,,,,2022-05,,,2017-10
,,,,,,,2022-06,,,2017-11
,,,,,,,2022-07,,,2017-12
,,,,,,,2022-08,,,2018-01
,,,,,,,2022-09,,,2018-02
,,,,,,,2022-10,,,2018-03
,,,,,,,2022-11,,,2018-04
,,,,,,,2022-12,,,2018-05
,,,,,,,2023-01,,,2018-06
,,,,,,,2023-02,,,2018-07
,,,,,,,2023-03,,,2018-08
,,,,,,,2023-04,,,2018-09
,,,,,,,2023-05,,,2018-10
,,,,,,,2023-06,,,2018-11
,,,,,,,2023-07,,,2018-12
,,,,,,,2023-08,,,2019-01
,,,,,,,2023-09,,,2019-02
,,,,,,,2023-10,,,2019-03
,,,,,,,2023-11,,,2019-04
,,,,,,,2023-12,,,2019-05
,,,,,,,,,,2019-06
,,,,,,,,,,2019-07
,,,,,,,,,,2019-08
,,,,,,,,,,2019-09
,,,,,,,,,,2019-10
,,,,,,,,,,2019-11
,,,,,,,,,,2019-12
,,,,,,,,,,2019-01
,,,,,,,,,,2020-02
,,,,,,,,,,2020-03
,,,,,,,,,,2020-04
,,,,,,,,,,2020-05
,,,,,,,,,,2020-06
,,,,,,,,,,2020-07
,,,,,,,,,,2020-08
,,,,,,,,,,2020-09
,,,,,,,,,,2020-10
,,,,,,,,,,2020-11
,,,,,,,,,,2020-12
,,,,,,,,,,2021-01
,,,,,,,,,,2021-02
,,,,,,,,,,2021-03
,,,,,,,,,,2021-04
,,,,,,,,,,2021-05
,,,,,,,,,,2021-06
,,,,,,,,,,2021-07
,,,,,,,,,,2021-08
,,,,,,,,,,2021-09
,,,,,,,,,,2021-10
,,,,,,,,,,2021-11
,,,,,,,,,,2021-12
,,,,,,,,,,2022-01
,,,,,,,,,,2022-02
,,,,,,,,,,2022-03
,,,,,,,,,,2022-04
,,,,,,,,,,2022-05
,,,,,,,,,,2022-06
,,,,,,,,,,2022-07
,,,,,,,,,,2022-08
,,,,,,,,,,2022-09
,,,,,,,,,,2022-10
,,,,,,,,,,2022-11
,,,,,,,,,,2022-12
,,,,,,,,,,2023-01
,,,,,,,,,,2023-02
,,,,,,,,,,2023-03
,,,,,,,,,,2023-04
,,,,,,,,,,2023-05
,,,,,,,,,,2023-06
,,,,,,,,,,2023-07
,,,,,,,,,,2023-08
,,,,,,,,,,2023-09
,,,,,,,,,,2023-10
,,,,,,,,,,2023-11
,,,,,,,,,,2023-12
