AÑO,GLOSA,ÍNDICE,,,,,,,,
2015-05,RESTAURANTES Y HOTELES,86.28,,,,,,,,
2015-06,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,90.35,,,,,,,,
2015-06,BEBIDAS ALCOHÓLICAS Y TABACO,86.49,,,,,,,,
2015-06,VESTUARIO Y CALZADO,113.32,,,,,,,,
2015-06,RECREACIÓN Y CULTURA,96.12,,,,,,,,
2015-06,RESTAURANTES Y HOTELES,86.86,,,,,,,,
2015-07,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,91.13,,,,,,,,
2015-07,BEBIDAS ALCOHÓLICAS Y TABACO,86.82,,,,,,,,
2015-07,VESTUARIO Y CALZADO,111.39,,,,,,,,
2015-07,RECREACIÓN Y CULTURA,96.11,,,,,,,,
2015-07,RESTAURANTES Y HOTELES,86.98,,,,,,,,
2015-08,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,92.51,,,,,,,,
2015-08,BEBIDAS ALCOHÓLICAS Y TABACO,87.34,,,,,,,,
2015-08,VESTUARIO Y CALZADO,115.05,,,,,,,,
2015-08,RECREACIÓN Y CULTURA,95.99,,,,,,,,
2015-08,RESTAURANTES Y HOTELES,87.09,,,,,,,,
2015-09,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,93.53,,,,,,,,
2015-09,BEBIDAS ALCOHÓLICAS Y TABACO,86.71,,,,,,,,
2015-09,VESTUARIO Y CALZADO,115.69,,,,,,,,
2015-09,RECREACIÓN Y CULTURA,96.14,,,,,,,,
2015-09,RESTAURANTES Y HOTELES,88.2,,,,,,,,
2015-10,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,94.27,,,,,,,,
2015-10,BEBIDAS ALCOHÓLICAS Y TABACO,88.13,,,,,,,,
2015-10,VESTUARIO Y CALZADO,115,,,,,,,,
2015-10,RECREACIÓN Y CULTURA,96.08,,,,,,,,
2015-10,RESTAURANTES Y HOTELES,88.96,,,,,,,,
2015-11,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,94.03,,,,,,,,
2015-11,BEBIDAS ALCOHÓLICAS Y TABACO,87.86,,,,,,,,
2015-11,VESTUARIO Y CALZADO,114.38,,,,,,,,
2015-11,RECREACIÓN Y CULTURA,96.12,,,,,,,,
2015-11,RESTAURANTES Y HOTELES,89.59,,,,,,,,
2015-12,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,93.5,,,,,,,,
2015-12,BEBIDAS ALCOHÓLICAS Y TABACO,87.47,,,,,,,,
2015-12,VESTUARIO Y CALZADO,113.82,,,,,,,,
2015-12,RECREACIÓN Y CULTURA,95.91,,,,,,,,
2015-12,RESTAURANTES Y HOTELES,89.73,,,,,,,,
2016-01,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,93.22,,,,,,,,
2016-01,BEBIDAS ALCOHÓLICAS Y TABACO,89.53,,,,,,,,
2016-01,VESTUARIO Y CALZADO,113.88,,,,,,,,
2016-01,RECREACIÓN Y CULTURA,96.85,,,,,,,,
2016-01,RESTAURANTES Y HOTELES,90.15,,,,,,,,
2016-02,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,92.75,,,,,,,,
2016-02,BEBIDAS ALCOHÓLICAS Y TABACO,90.38,,,,,,,,
2016-02,VESTUARIO Y CALZADO,115.98,,,,,,,,
2016-02,RECREACIÓN Y CULTURA,96.77,,,,,,,,
2016-02,RESTAURANTES Y HOTELES,90.7,,,,,,,,
2016-03,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,92.97,,,,,,,,
2016-03,BEBIDAS ALCOHÓLICAS Y TABACO,90.42,,,,,,,,
2016-03,VESTUARIO Y CALZADO,116.3,,,,,,,,
2016-03,RECREACIÓN Y CULTURA,96.47,,,,,,,,
2016-03,RESTAURANTES Y HOTELES,91.2,,,,,,,,
2016-04,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,93.08,,,,,,,,
2016-04,BEBIDAS ALCOHÓLICAS Y TABACO,90.48,,,,,,,,
2016-04,VESTUARIO Y CALZADO,116.03,,,,,,,,
2016-04,RECREACIÓN Y CULTURA,96.95,,,,,,,,
2016-04,RESTAURANTES Y HOTELES,91.59,,,,,,,,
2016-05,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,94.02,,,,,,,,
2016-05,BEBIDAS ALCOHÓLICAS Y TABACO,90.38,,,,,,,,
2016-05,VESTUARIO Y CALZADO,115.54,,,,,,,,
2016-05,RECREACIÓN Y CULTURA,96.38,,,,,,,,
2016-05,RESTAURANTES Y HOTELES,91.86,,,,,,,,
2016-06,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,94.61,,,,,,,,
2016-06,BEBIDAS ALCOHÓLICAS Y TABACO,90.82,,,,,,,,
2016-06,VESTUARIO Y CALZADO,113.16,,,,,,,,
2016-06,RECREACIÓN Y CULTURA,96.81,,,,,,,,
2016-06,RESTAURANTES Y HOTELES,92.24,,,,,,,,
2016-07,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,95.58,,,,,,,,
2016-07,BEBIDAS ALCOHÓLICAS Y TABACO,91.61,,,,,,,,
2016-07,VESTUARIO Y CALZADO,112.78,,,,,,,,
2016-07,RECREACIÓN Y CULTURA,96.73,,,,,,,,
2016-07,RESTAURANTES Y HOTELES,92.55,,,,,,,,
2016-08,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,96.36,,,,,,,,
2016-08,BEBIDAS ALCOHÓLICAS Y TABACO,91.7,,,,,,,,
2016-08,VESTUARIO Y CALZADO,114.43,,,,,,,,
2016-08,RECREACIÓN Y CULTURA,96.82,,,,,,,,
2016-08,RESTAURANTES Y HOTELES,92.89,,,,,,,,
2016-09,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,97.31,,,,,,,,
2016-09,BEBIDAS ALCOHÓLICAS Y TABACO,91.54,,,,,,,,
2016-09,VESTUARIO Y CALZADO,113.85,,,,,,,,
2016-09,RECREACIÓN Y CULTURA,96.21,,,,,,,,
2016-09,RESTAURANTES Y HOTELES,93.28,,,,,,,,
2016-10,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,96.95,,,,,,,,
2016-10,BEBIDAS ALCOHÓLICAS Y TABACO,92.46,,,,,,,,
2016-10,VESTUARIO Y CALZADO,113.05,,,,,,,,
2016-10,RECREACIÓN Y CULTURA,96.14,,,,,,,,
2016-10,RESTAURANTES Y HOTELES,93.62,,,,,,,,
2016-11,ALIMENTOS Y BEBIDAS NO ALCOHÓLICAS,96.91,,,,,,,,
