Año;Mes;Buzo;Polerón;Zapatillas;Top;Falda;Blusa;Zapatos;Bláiser;IPC Vestuario y Calzado;Variación Mensual (%)
2022;Enero;17;35;53;19;26;8;23;3;100,95;0,8
2022;Febrero;30;52;66;18;26;8;30;3;101,72;0,8
2022;Marzo;32;64;66;16;17;9;31;4;102,59;0,9
2022;Abril;26;71;58;16;16;8;33;4;102,54;0
2022;Mayo;32;83;60;24;18;7;32;3;102,24;-0,3
2022;Junio;28;81;55;28;16;6;31;3;100,94;-1,3
2022;Julio;25;70;55;22;15;6;29;3;98,18;-2,7
2022;Agosto;25;67;67;21;21;9;29;4;100,16;2
2022;Septiembre;22;56;66;19;21;12;31;4;100,9;0,7
2022;Octubre;22;56;83;20;28;13;33;6;98,68;-2,2
2022;Noviembre;18;43;65;18;25;13;32;6;102,71;4,1
2022;Diciembre;20;47;82;23;31;15;31;5;100,8;-1,9
2023;Enero;19;43;66;23;25;10;30;4;103,27;2,4
2023;Febrero;25;58;79;19;27;10;35;4;107,34;3,9
2023;Marzo;25;64;71;18;20;10;33;4;109,17;1,7
2023;Abril;30;84;66;17;18;9;34;4;108,95;-0,2
2023;Mayo;36;98;75;17;19;8;35;4;110,16;1,1
2023;Junio;32;91;63;17;18;7;32;3;107,54;-2,4
2023;Julio;29;88;67;18;20;8;30;4;104,65;-2,7
2023;Agosto;25;74;70;18;28;11;29;4;105,14;0,5
2023;Septiembre;25;70;74;17;24;12;32;4;106,5;1,3
2023;Octubre;25;71;91;18;30;14;31;6;102,61;-3,7
2023;Noviembre;22;61;81;17;27;14;31;7;105,89;3,2
2023;Diciembre;26;69;97;21;40;17;31;6;104,71;-1,1
2024;Enero;21;47;68;26;30;11;28;3;96,14;-8,2
2024;Febrero;26;60;75;28;30;10;31;3;98,52;2,5
2024;Marzo;27;71;72;25;24;10;30;4;97,65;-0,9
2024;Abril;32;89;64;18;22;10;28;4;95,81;-1,9
2024;Mayo;35;96;57;19;21;6;30;3;97,62;1,9
2024;Junio;39;100;74;19;21;7;31;3;91,68;-6,1
2024;Julio;31;84;59;18;22;8;26;3;93,48;2
2024;Agosto;32;82;66;17;26;10;27;4;95,70;2,4
2024;Septiembre;33;78;83;19;29;14;29;5;98,88;3,3
2024;Octubre;29;64;74;21;31;15;28;6;95,94;-3
2024;Noviembre;25;52;75;26;31;15;29;6;97,22;1,3
2024;Diciembre;33;71;100;29;42;18;29;6;95,98;-1,3
