;;Índice de Precios al Consumidor (IPC) Vestuario y Calzado;;
;;Cobertura Nacional 2014-2023;;
;;;;
Año;Mes;Índice;Variación Mensual (%);
2021;12;117,15;1,3;
2021;12;114,32;0,9;
2022;1;120,67;1,6;
2022;1;110,03;1,8;
2022;Enero;100,95;0,8;
2022;1;115,7;0,8;
2022;1;114,27;0,4;
2022;1;108,94;0,5;
2022;1;125,38;2,8;
2022;1;93;0;
2022;1;123;0;
2022;1;112,39;0,1;
2022;1;119,12;1,7;
2022;1;115,73;1,2;
2022;2;122,81;1,8;
2022;2;110,48;0,4;
2022;Febrero;101,72;0,8;
2022;2;116,7;0,9;
2022;2;115;0,6;
2022;2;109,18;0,2;
2022;2;125,45;0,1;
2022;2;92,74;-0,3;
2022;2;116,59;-5,2;
2022;2;112,43;0;
2022;2;119,75;0,5;
2022;2;116,58;0,7;
2022;3;127,63;3,9;
2022;3;113,67;2,9;
2022;Marzo;102,59;0,9;
2022;3;117,86;1;
2022;3;116,14;1;
2022;3;109,89;0,6;
2022;3;127,63;1,7;
2022;3;88,94;-4,1;
2022;3;116,89;0,3;
2022;3;119,8;6,6;
2022;3;121,47;1,4;
2022;3;117,44;0,7;
2022;4;130,53;2,3;
2022;4;113,78;0,1;
2022;Abril;102,54;0;
2022;4;119,07;1;
2022;4;117,1;0,8;
2022;4;111,32;1,3;
2022;4;129,1;1,2;
2022;4;89,35;0,5;
2022;4;120,32;2,9;
2022;4;119,8;0;
2022;4;123,89;2;
2022;4;120,16;2,3;
2022;5;132,93;1,8;
2022;5;114,12;0,3;
2022;Mayo;102,24;-0,3;
2022;5;120,3;1;
2022;5;117,75;0,6;
2022;5;111,7;0,3;
2022;5;131,96;2,2;
2022;5;89,09;-0,3;
2022;5;123,05;2,3;
2022;5;119,97;0,1;
2022;5;125,64;1,4;
2022;5;121,15;0,8;
2022;6;134,5;1,2;
2022;6;113,99;-0,1;
2022;Junio;100,94;-1,3;
2022;6;121,43;0,9;
2022;6;117,47;-0,2;
2022;6;112,21;0,5;
2022;6;135,42;2,6;
2022;6;88,61;-0,5;
2022;6;124,83;1,4;
2022;6;119,97;0;
2022;6;127,83;1,7;
2022;6;121,27;0,1;
2022;7;137;1,9;
2022;7;115,22;1,1;
2022;Julio;98,18;-2,7;
2022;7;122,98;1,3;
2022;7;117,93;0,4;
2022;7;112,81;0,5;
2022;7;140,01;3,4;
2022;7;88,65;0;
2022;7;126,92;1,7;
2022;7;119,97;0;
2022;7;129,27;1,1;
2022;7;123,2;1,6;
2022;8;139,72;2;
2022;8;117,06;1,6;
2022;Agosto;100,16;2;
2022;8;124,15;0,9;
2022;8;118,79;0,7;
2022;8;113,44;0,6;
2022;8;142,26;1,6;
2022;8;89,02;0,4;
2022;8;127,53;0,5;
2022;8;120,01;0;
2022;8;131,33;1,6;
2022;8;124,25;0,8;
2022;9;142,9;2,3;
2022;9;117,92;0,7;
2022;Septiembre;100,9;0,7;
2022;9;125,05;0,7;
2022;9;121,05;1,9;
2022;9;113,26;-0,2;
2022;9;142;-0,2;
2022;9;89,97;1,1;
2022;9;127,02;-0,4;
2022;9;120,14;0,1;
2022;9;132,34;0,8;
2022;9;125,82;1,3;
2022;10;144;0,8;
2022;10;120,68;2,3;
2022;Octubre;98,68;-2,2;
2022;10;125,79;0,6;
2022;10;119,25;-1,5;
2022;10;113,97;0,6;
2022;10;143,16;0,8;
2022;10;89,84;-0,1;
2022;10;128,4;1,1;
2022;10;120,14;0;
2022;10;133,8;1,1;
2022;10;126,06;0,2;
2022;11;146,4;1,7;
2022;11;123,51;2,3;
2022;Noviembre;102,71;4,1;
2022;11;126,2;0,3;
2022;11;121,06;1,5;
2022;11;114,24;0,2;
2022;11;145,09;1,3;
2022;11;87,99;-2,1;
2022;11;126,66;-1,4;
2022;11;120,18;0;
2022;11;135,57;1,3;
2022;11;128,93;2,3;
2022;12;148,05;1,1;
2022;12;122,48;-0,8;
2022;Diciembre;100,8;-1,9;
2022;12;125,79;-0,3;
2022;12;121,43;0,3;
2022;12;114,54;0,3;
2022;12;144,29;-0,5;
2022;12;87,8;-0,2;
2022;12;129,35;2,1;
2022;12;120,18;0;
2022;12;136,45;0,6;
2022;12;130,08;0,9;
2023;1;149,56;1;
2023;1;125,76;2,7;
2023;Enero;103,27;2,4;
2023;1;126,04;0,2;
2023;1;123,17;1,4;
2023;1;116,2;1,4;
2023;1;144,01;-0,2;
2023;1;87,91;0,1;
2023;1;130,05;0,5;
2023;1;120,23;0;
2023;1;137,74;0,9;
2023;1;132,45;1,8;
2023;2;149,13;-0,3;
2023;2;126,69;0,7;
2023;Febrero;107,34;3,9;
2023;2;126,94;0,7;
2023;2;123,85;0,6;
2023;2;117,27;0,9;
2023;2;140,09;-2,7;
2023;2;87,9;0;
2023;2;128,8;-1;
2023;2;120,23;0;
2023;2;139,36;1,2;
2023;2;133,39;0,7;
2023;3;149,78;0,4;
2023;3;126,27;-0,3;
2023;Marzo;109,17;1,7;
2023;3;127,86;0,7;
2023;3;124,43;0,5;
2023;3;117,96;0,6;
2023;3;139,13;-0,7;
2023;3;87,8;-0,1;
2023;3;131,63;2,2;
2023;3;133,23;10,8;
2023;3;140,07;0,5;
2023;3;134,48;0,8;
2023;4;149,81;0;
2023;4;127,44;0,9;
2023;Abril;108,95;-0,2;
2023;4;128,72;0,7;
2023;4;125,33;0,7;
2023;4;119,75;1,5;
2023;4;140,17;0,8;
2023;4;87,66;-0,2;
2023;4;129,34;-1,7;
2023;4;133,22;0;
2023;4;140,41;0,2;
2023;4;135,03;0,4;
2023;5;149,84;0;
2023;5;127,87;0,3;
2023;Mayo;110,16;1,1;
2023;5;128,94;0,2;
2023;5;126,19;0,7;
2023;5;120,46;0,6;
2023;5;138,77;-1;
2023;5;87,51;-0,2;
2023;5;129,54;0,2;
2023;5;133,51;0,2;
2023;5;141,55;0,8;
2023;5;135,43;0,3;
2023;6;150,34;0,3;
2023;6;128,21;0,3;
2023;Junio;107,54;-2,4;
2023;6;128,77;-0,1;
2023;6;125,32;-0,7;
2023;6;120,72;0,2;
2023;6;138,18;-0,4;
2023;6;87,21;-0,4;
2023;6;128,81;-0,6;
2023;6;133,51;0;
2023;6;142,17;0,4;
2023;6;134,31;-0,8;
2023;7;152,12;1,2;
2023;7;129,65;1,1;
2023;Julio;104,65;-2,7;
2023;7;128,59;-0,1;
2023;7;124,43;-0,7;
2023;7;121,09;0,3;
2023;7;137,92;-0,2;
2023;7;86,89;-0,4;
2023;7;131,25;1,9;
2023;7;133,51;0;
2023;7;142,89;0,5;
2023;7;135,3;0,7;
2023;8;152,63;0,3;
2023;8;129,85;0,1;
2023;Agosto;105,14;0,5;
2023;8;129,04;0,4;
2023;8;124,05;-0,3;
2023;8;121,45;0,3;
2023;8;137,6;-0,2;
2023;8;86,8;-0,1;
2023;8;131,53;0,2;
2023;8;133,51;0;
2023;8;143,49;0,4;
2023;8;134,2;-0,8;
2023;9;154,22;1;
2023;9;128,67;-0,9;
2023;Septiembre;106,5;1,3;
2023;9;130,31;1;
2023;9;124;0;
2023;9;121,07;-0,3;
2023;9;139,29;1,2;
2023;9;86,71;-0,1;
2023;9;133,65;1,6;
2023;9;133,4;-0,1;
2023;9;144,41;0,6;
2023;9;134,78;0,4;
2023;10;155,56;0,9;
2023;10;131,81;2,4;
2023;Octubre;102,61;-3,7;
2023;10;131,57;1;
2023;10;122;-1,6;
2023;10;121,29;0,2;
2023;10;139,89;0,4;
2023;10;86,62;-0,1;
2023;10;136,01;1,8;
2023;10;133,4;0;
2023;10;145,33;0,6;
2023;10;133,88;-0,7;
2023;11;157,12;1;
2023;11;130,99;-0,6;
2023;Noviembre;105,89;3,2;
2023;11;131,86;0,2;
2023;11;123,5;1,2;
2023;11;121,51;0,2;
2023;11;141,69;1,3;
2023;11;87,22;0,7;
2023;11;137,85;1,4;
2023;11;133,39;0;
2023;11;145,69;0,3;
2023;11;134,85;0,7;
2023;12;155,81;-0,8;
2023;12;130,44;-0,4;
2023;Diciembre;104,71;-1,1;
2023;12;VIVIENDA Y SERVICIOS BÁSICOS;131,72;
2023;12;EQUIPAMIENTO Y MANTENCIÓN DEL HOGAR;123,14;
2023;12;SALUD;120,85;
2023;12;TRANSPORTE;141,17;
2023;12;COMUNICACIONES;87,13;
2023;12;RECREACIÓN Y CULTURA;133,98;
2023;12;EDUCACIÓN;133,39;
2023;12;RESTAURANTES Y HOTELES;146,82;
2023;12;BIENES Y SERVICIOS DIVERSOS;133,85;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
